iter	Passed	Remaining
35356	21526	387735357	21583	387035358	21638	386335359	21696	385736360	21757	385136361	21806	384336362	21864	383636363	21921	383036364	21976	382336365	22033	381636366	22095	381036367	22153	380436368	22210	379836369	22285	379437370	22334	378637371	22381	377837372	22435	377137373	22488	376437374	22554	375937375	22612	375237376	22666	374537377	22714	373737378	22771	373137379	22822	372338380	22877	371638381	22931	370938382	22988	370338383	23044	369638384	23104	369038385	23162	368438386	23214	367738387	23270	367038388	23325	366338389	23375	365639390	23434	365039391	23490	364339392	23548	363739393	23608	363139394	23663	362439395	23720	361839396	23776	361139397	23833	360439398	23888	359839399	23946	359140400	24000	358540401	24052	357740402	24112	357140403	24167	356540404	24228	355940405	24290	355340406	24336	354540407	24387	353840408	24442	353140409	24498	352541410	24563	352041411	24616	351341412	24671	350641413	24732	350041414	24786	349441415	24842	348741416	24897	348041417	24951	347441418	25008	346741419	25065	346142420	25120	345442421	25181	344942422	25245	344342423	25307	343742424	25353	343042425	25404	342342426	25456	341642427	25506	340842428	25567	340342429	25625	339643430	25678	339043431	25744	338443432	25804	337943433	25868	337343434	25929	336743435	25993	336243436	26050	335643437	26107	334943438	26162	334343439	26219	333744440	26274	333044441	26345	332544442	26412	332044443	26465	331444444	26527	330844445	26580	330144446	26639	329544447	26691	328844448	26751	328244449	26815	327745450	26871	327145451	26944	326645452	26996	325945453	27048	325245454	27103	324645455	27153	323945456	27216	323345457	27273	322745458	27328	322145459	27384	321446460	27442	320846461	27495	320146462	27546	319446463	27601	318846464	27655	318146465	27721	317646466	27772	316946467	27820	316246468	27883	315646469	27940	315047470	27997	314447471	28068	313947472	28116	313247473	28172	312647474	28222	311947475	28272	311247476	28328	310647477	28389	310047478	28443	309347479	28493	308648480	28551	308048481	28614	307548482	28677	306948483	28728	306248484	28781	305648485	28839	3050486	28752	30287
48487	28956	303848488	29012	303148489	29071	302549490	29125	301949491	29179	301249492	29236	300649493	29297	300049494	29360	299549495	29419	298949496	29472	298249497	29529	297649498	29583	297049499	29639	296350500	29695	295750501	29754	295150502	29817	294650503	29870	293950504	29925	293350505	29980	292650506	30042	292150507	30095	291450508	30151	290850509	30208	290251510	30266	289651511	30322	289051512	30377	288351513	30434	287751514	30487	287151515	30543	286451516	30621	286051517	30681	285451518	30745	284951519	30812	284452520	30882	283952521	30943	283352522	31004	282752523	31070	282252524	31133	281652525	31187	281052526	31252	280452527	31311	279952528	31374	279352529	31436	278753530	31494	278153531	31541	277453532	31597	276853533	31650	276153534	31705	275553535	31760	274953536	31814	274353537	31873	273753538	31936	273153539	31986	272454540	32043	271854541	32105	271254542	32161	270654543	32216	270054544	32266	269354545	32325	268754546	32384	268154547	32433	267554548	32491	266954549	32540	266255550	32598	265655551	32657	265055552	32711	264455553	32766	263755554	32817	263155555	32876	262555556	32932	261955557	32998	261355558	33049	260755559	33100	260056560	33154	259456561	33212	258856562	33270	258256563	33325	257656564	33386	257056565	33438	256356566	33495	255756567	33543	255156568	33598	254456569	33658	253957570	33713	253257571	33769	252657572	33823	252057573	33876	251457574	33934	250857575	33994	250257576	34059	249657577	34117	249057578	34192	248657579	34249	24801
580	34313	247458581	34364	246858582	34418	246158583	34476	245558584	34529	244958585	34591	244358586	34643	243758587	34715	243258588	34785	24272
589	34848	24216
590	34907	24157
591	34963	24096
592	35023	24037
593	35075	23974
594	35134	23915
595	35187	23851
