iter	Logloss
0	0.6910501819
1	0.689004584
2	0.6867392486
3	0.6844911401
4	0.6827205341
5	0.6806004887
6	0.6789588274
7	0.6767309339
8	0.6743446275
9	0.6724070892
10	0.6705776461
11	0.6689287413
12	0.6672117835
13	0.665624583
14	0.6641467814
15	0.6626348735
16	0.6611434752
17	0.6596768511
18	0.6584086688
19	0.6572471892
20	0.6565828301
21	0.6559142022
22	0.6543688253
23	0.6526222347
24	0.6510690012
25	0.6499398862
26	0.6491201323
27	0.6474443753
28	0.6459185436
29	0.6448465517
30	0.644189162
31	0.6433696086
32	0.6416786251
33	0.6409165797
34	0.6400554141
35	0.6395152331
36	0.6382553853
37	0.6371254802
38	0.6360176918
39	0.6352585994
40	0.6342890649
41	0.6338971635
42	0.6329825817
43	0.6320317493
44	0.6314066825
45	0.6304572738
46	0.6295461445
47	0.6289179496
48	0.6282945086
49	0.6272473094
50	0.6264988802
51	0.6261776395
52	0.6257226452
53	0.6251535052
54	0.6246441862
55	0.6239563104
56	0.6227240136
57	0.6218037765
58	0.6212025446
59	0.6206143544
60	0.6197263036
61	0.6190530599
62	0.6185620888
63	0.6179207518
64	0.6171333067
65	0.6166618
66	0.6160504027
67	0.6154864253
68	0.6147261385
69	0.6143387879
70	0.6139899154
71	0.6132089152
72	0.6121475085
73	0.6118195166
74	0.6110231778
75	0.6104575358
76	0.6101378058
77	0.6097782834
78	0.6091964262
79	0.6084067413
80	0.6076219233
81	0.6071248249
82	0.6065163317
83	0.6059738364
84	0.6053607829
85	0.60472499
86	0.6040758346
87	0.6036878907
88	0.6031590957
89	0.6025412978
90	0.6021161474
91	0.6016401889
92	0.6013232736
93	0.6008881982
94	0.6004200308
95	0.5998025861
96	0.5991198111
97	0.5986412702
98	0.5981284534
99	0.5978523262
100	0.5976572852
101	0.5973579768
102	0.5968069277
103	0.5964765788
104	0.5962400629
105	0.5958982338
106	0.5953159918
107	0.5947171945
108	0.5943566712
109	0.5941516296
110	0.5938906662
111	0.5935873714
112	0.5931110512
113	0.5926802725
114	0.5922715979
115	0.5919910873
116	0.591623241
117	0.5912622326
118	0.5909420356
119	0.5906565133
120	0.5903980657
121	0.5897973861
122	0.5894725388
123	0.5890981039
124	0.5888613636
125	0.5883078257
126	0.5881291205
127	0.5878521637
128	0.5875571165
129	0.5870113182
130	0.5867398898
131	0.5862532811
132	0.5858277648
133	0.5853686562
134	0.585129883
135	0.5847982462
136	0.584361774
137	0.5840400966
138	0.5836113339
139	0.5834027372
140	0.5831017846
141	0.58276563
142	0.5825766965
143	0.5821455336
144	0.5818497491
145	0.5813194264
146	0.5810290845
147	0.5805765701
148	0.5802513177
149	0.5800669662
150	0.5796036138
151	0.5792186329
152	0.5789283037
153	0.5784392439
154	0.5779812799
155	0.5776170052
156	0.5774092279
157	0.5772508495
158	0.5769218683
159	0.5765355694
160	0.5762101236
161	0.5757856446
162	0.5754081949
163	0.5751246635
164	0.5748446528
165	0.5743852331
166	0.5741025918
167	0.5738501433
168	0.5736299112
169	0.5733870847
170	0.5732458049
171	0.5729870144
172	0.57173	0.571173	0.57174	0.570174	0.57175	0.570175	0.57176	0.570176	0.57177	0.569177	0.57178	0.569178	0.57179	0.56179	0.570180	0.5180	0.5704910671
181	0.5700463497
182	0.5696832849
183	0.5694042964
184	0.5690099632
185	0.5687820034
186	0.5684611392
187	0.5682188	0.5188	0.5680189	0.5189	0.567190	0.56190	0.567191	0.56191	0.567192	0.56192	0.56193	0.565193	0.56194	0.564194	0.56195	0.564195	0.56196	0.564196	0.56197	0.56197	0.565198	0.56198	0.5651318567
199	0.5647293244
200	0.564465184
201	0.5642544857
202	0.5640065678
203	0.563204	0.56204	0.56205	0.561205	0.56206	0.561206	0.56207	0.561207	0.56208	0.56208	0.562209	0.56209	0.562210	0.56210	0.561211	0.55211	0.561212	0.55212	0.561213	0.55213	0.561214	0.55214	0.560215	0.55215	0.560216	0.55216	0.560217	0.55217	0.559218	0.55218	0.559219	0.55219	0.559220	0.55220	0.559221	0.55221	0.558222	0.55222	0.558223	0.55223	0.558224	0.5563927104
